utterance,intent
죽어버려야겠어,자살충동
너무 걱정되고 무서워요.,초조함
옛날에 미드 많이 봤었음 키키 가십걸 이런 거,일상
비밀의 숲봤어?,일상
요새 작은 일에도 툭하면 성을 내게 돼요,분노
그래서 전우애가 깊은가 봐요,일상
날이 따듯해지니까 피곤해 죽을 맛이야.,피로
이제 이러는 것도 지쳐요.,무기력
임신하고 나서 카톡방에서도 겉돌게 되는 것 같아,외로움
"자려고 하니까 갑자기 의식이 아득해지더니, 사지에서 힘이 쭉 빠지는 거야.",피로
먹고 살기 너무 힘들어.,무기력
잉여처럼 있어,무기력
남편조차 나한테 상처되는 말만 하니까 나 같은건 죽어야하나 싶고 그랬어,자존감저하
재검 떠서 울컥하더라,슬픔
오빠랑 여행 많이 가봤어도 결혼하고 가는건 처음이니까 느낌이 많이 다르겠다 키키,일상
되게 외롭다는 생각을 해요.,외로움
태교여행 갈 건데 괜히 초조하고 숨도 가쁜 거 같아,초조함
그게 적성에 맞으면 직군도 나쁘지 않지 키키,일상
요즘은 다들 군대 일찍 가려고 하지?,일상
나중에 한번 뒤집어서 봐야겠네,일상
그냥 여러모로 좀 힘든 시기인 것 같아.,무기력
키키 4일 근무 진짜 꿈이다,일상
정말 지옥이겠네요. 출근부터 엉망이네요.,일상
내가 말한 거지만 거기에 내가 상처 받게 되는 거야. 진짜 너무 속상했어.,슬픔
인생이 재미가 없어.,무기력
너무 외로운데 운동하면 나아질까,외로움
무서운 생각이 안 멈춰,불안
나는 니가 더 신기하던데 키키 당연히 흉터 남는 줄,일상
또 쓰러지면 어떡하죠?,초조함
그래도 너무했다 그 사람,일상
내가 얼마나 열심히 살았는데 명품가방 한번 안 사고 모은 돈인데,슬픔
오 축하 드려,일상
이런 생각만 계속 들어서 자꾸 정말 우울해져.,우울감
사람들 속에 있으면 혼자 맨날 겉돌아서 힘들어,외로움
진짜 걱정 많겠다.,일상
미혼모라고 간호사들조차 차갑게 대해,자존감저하
바지도 칠부도 입혔다 긴바지도 입혔다 하고요.,일상
식욕 없을 당시에 살이 5킬로나 빠졌어.,식욕저하
그건 비대면 중간고사라 괜찮을거야,일상
걍 뼈대가 다른 종족,일상
그러다가 자연스럽게 포기하게 돼,일상
나한테 해야하는 일들을 도라에몽이 해줬으면 좋겠어.,무기력
뭐야 형 완전 소녀 감성이네 키키,일상
근데 저는 그런 엄마가 더 원망스러워요.,분노
남편이 내 인생을 짓밟는 느낌이야,자존감저하
자꾸 별 생각 없이 말 실수를 해서 큰일이야,죄책감
초코랑 치즈...? 개별론데?키키,일상
입맛이 하나도 없어.,식욕저하
11번가 쿠폰도 잘 쓰고 있눈데,일상
조마조마해서 방에 혼자 못 있겠어,초조함
말도 잘 안 하게 되고 사람 만나는 것도 귀찮아,무기력
하이 하이 다들 식사하셨나요,일상
군대 훈련소 안에 들어가 본 적 있어?,일상
앞 길이 꽉 막힌 기분이 드니까 밥은 먹어서 뭐하나 하는 생각까지 들더라고,절망감
나 임신했다고 누가 야단이라도 쳤음 좋겠어,죄책감
정말 꼴도 보기 싫어,분노
자잘한 걱정들이 많이 있었어요,초조함
티브이도 재미없고 뭐하나 하고 싶은 게 없어,우울감
"올해는 그냥 제사 음식을 시켜서 할까 싶은데, 그거 알아보는 것도 귀찮네.",무기력
탈모 제품 좀 써...,일상
는 자기가 스스로 조절해서 먹어,일상
"손발이 조금만 저려도 너무 걱정되고, 안 좋은 생각만 들고",초조함
왜 그래? 어디 아픈가 봐.,일상
너무 기력이 없어서 이상해,피로
집에만 있으면 기분이 자주 가라앉아.,우울감
시댁때문에 뒤지고 싶단 생각만 하게 돼,자살충동
근데 오늘은 진짜 추웠다니까?,일상
요새는 먹는 일도 힘들더라.,식욕저하
뭔 다이어트 하는데 키키,일상
우와 강아지 튜브도 사야겠넹! 키키,일상
결론은 눈이 많이 와야 돼요 키키,일상
나는 코인 투자를 하게 되면 돈을 잃게 될까 봐 무서워.,일상
머리의 변천사 신기하다 하하,일상
저도 면접에서 외모때문에 탈락할까봐 걱정이 돼요.,초조함
아 그럼 중국이 나중에 좀 기어 들어 가려나,일상
더 우울해지는 것 같아요.,우울감
그래 같이하자. 나 친구추천하렴.,일상
심하게 허탈하네,상실감
