utterance,intent
난 마지심슨이 제일 좋더라,일상
마음이 힘드니까 잠을 못 자게 된 것 같아,우울감
나만 꿈이 없는 거 같아서 외로움.,외로움
힘이 없어서 아무것도 안 하게 돼,피로
키키 웃겨 키키 주민 센터도 있구나 아 해 보고 싶노 키키,일상
수년간 20킬로는 쪘을걸?,식욕증가
문득 지금 죽어야겠다는 생각이 떠올랐어요.,자살충동
애 준비해서 유치원도 보내야 하는데 다 귀찮고,무기력
나도 관리비로 은근 나감 돈아깝,일상
해병대 멋있잖어,일상
아 그래? 나중에 내가 돈 많이 벌어서 보내드리고 싶다 하하,일상
나도 임신 했을때부터 매일매일 커피를 마셨는데 다른사람이 타주는 커피가 맛있어,일상
"아픈 사람은 엄청 아프고, 안 아픈 사람은 걸린지도 모른다던데",일상
근데 찾아서 받아 먹는 게 당연한 거지!,일상
키키 신기하긴 하다 키키 나도 게임 잘했으면 한번 도전했을 텐디,일상
옷장 정리도 귀찮아서 한꺼번에 몰아서 해요.,무기력
오빠도 여자친구한테 거짓말하지마,일상
키키 그러면 게임 진행이 되긴 하냐? 키키,일상
학교에서 선생님 말은 잘 듣는지..친구들이랑 사이는 좋은지밥을 잘 챙겨먹는지..온갖게 다 걱정이야.,초조함
일부러 맛있는 거 먹으러 갔는데도 몇 숟갈 못 먹고 다 남겼어요.,식욕저하
남편까지 그러니까 마음이 무너져내리는거야,절망감
제작진을 아는거지,일상
이 세상에 그런 여우는 또 없을 거야.,분노
진짜 이런 것도 있나 싶을 정도로 있어 키키,일상
나는 왜이렇게 당하고도 또 당하지,죄책감
살이 너무 불어서 걱정이다,식욕증가
웃으면서 애매하게 말하니까 다른 사람들은 모르는게 제일 답답하다,초조함
어둡고 해도 빨리 지고,일상
교통이 내부 편의시설을 추가하는 방식으로도 달라지는구나,일상
키키 집에서 밥 먹을 때는 너가 직접 음식 만들어 먹어?,일상
우울해서 하루 종일 잠만 잘 때도 있어,우울감
비행기가 더 불편하구나!,일상
나 근데 요새 카페인에 내성이 생겼는지 커피 먹어도 잠 옴,일상
아 진짜 언제쯤 풀릴라나 새벽까지 술 먹고 놀던게 엊그제 같은데,일상
하하 그런가요 지금 하고있는 일 열심히 해야지용,일상
그 조금 본 게 다라고 하면 믿어 그냥,일상
벌써 나 지금 눈 앞에 두 곳이나 장사하는걸,일상
키키 한국식으로 결제가능하네,일상
